fecha_operacion,intervalo,hora,fecha_hora,codigo,serie,mw
2026-06-18,16,04:00,2026-06-18 04:00:00,LA PAZ,La Paz,149.89
2026-06-18,17,04:15,2026-06-18 04:15:00,LA PAZ,La Paz,150.38
2026-06-18,18,04:30,2026-06-18 04:30:00,LA PAZ,La Paz,150.31
2026-06-18,19,04:45,2026-06-18 04:45:00,LA PAZ,La Paz,151.79
2026-06-18,20,05:00,2026-06-18 05:00:00,LA PAZ,La Paz,153.96
2026-06-18,21,05:15,2026-06-18 05:15:00,LA PAZ,La Paz,155.7
2026-06-18,22,05:30,2026-06-18 05:30:00,LA PAZ,La Paz,159.23
2026-06-18,23,05:45,2026-06-18 05:45:00,LA PAZ,La Paz,164.69
2026-06-18,24,06:00,2026-06-18 06:00:00,LA PAZ,La Paz,169.79
2026-06-18,25,06:15,2026-06-18 06:15:00,LA PAZ,La Paz,179.55
2026-06-18,26,06:30,2026-06-18 06:30:00,LA PAZ,La Paz,193.24
2026-06-18,27,06:45,2026-06-18 06:45:00,LA PAZ,La Paz,202.14
2026-06-18,28,07:00,2026-06-18 07:00:00,LA PAZ,La Paz,202.13
2026-06-18,29,07:15,2026-06-18 07:15:00,LA PAZ,La Paz,213.46
2026-06-18,30,07:30,2026-06-18 07:30:00,LA PAZ,La Paz,225.43
2026-06-18,31,07:45,2026-06-18 07:45:00,LA PAZ,La Paz,232.44
2026-06-18,32,08:00,2026-06-18 08:00:00,LA PAZ,La Paz,237.9
2026-06-18,33,08:15,2026-06-18 08:15:00,LA PAZ,La Paz,237.76
2026-06-18,34,08:30,2026-06-18 08:30:00,LA PAZ,La Paz,
2026-06-18,35,08:45,2026-06-18 08:45:00,LA PAZ,La Paz,
2026-06-18,36,09:00,2026-06-18 09:00:00,LA PAZ,La Paz,
2026-06-18,37,09:15,2026-06-18 09:15:00,LA PAZ,La Paz,
2026-06-18,38,09:30,2026-06-18 09:30:00,LA PAZ,La Paz,
2026-06-18,39,09:45,2026-06-18 09:45:00,LA PAZ,La Paz,
2026-06-18,40,10:00,2026-06-18 10:00:00,LA PAZ,La Paz,
2026-06-18,41,10:15,2026-06-18 10:15:00,LA PAZ,La Paz,
2026-06-18,42,10:30,2026-06-18 10:30:00,LA PAZ,La Paz,
2026-06-18,43,10:45,2026-06-18 10:45:00,LA PAZ,La Paz,
2026-06-18,44,11:00,2026-06-18 11:00:00,LA PAZ,La Paz,
