fecha_operacion,intervalo,hora,fecha_hora,codigo,serie,comparacion,mw
2026-06-18,4,01:00,2026-06-18 01:00:00,TERMO,Termoeléctrica,Actual,824.49
2026-06-18,5,01:15,2026-06-18 01:15:00,TERMO,Termoeléctrica,Actual,814.27
2026-06-18,6,01:30,2026-06-18 01:30:00,TERMO,Termoeléctrica,Actual,797.28
2026-06-18,7,01:45,2026-06-18 01:45:00,TERMO,Termoeléctrica,Actual,769.77
2026-06-18,8,02:00,2026-06-18 02:00:00,TERMO,Termoeléctrica,Actual,767.21
2026-06-18,9,02:15,2026-06-18 02:15:00,TERMO,Termoeléctrica,Actual,739.11
2026-06-18,10,02:30,2026-06-18 02:30:00,TERMO,Termoeléctrica,Actual,753.74
2026-06-18,11,02:45,2026-06-18 02:45:00,TERMO,Termoeléctrica,Actual,741.73
2026-06-18,12,03:00,2026-06-18 03:00:00,TERMO,Termoeléctrica,Actual,737.65
2026-06-18,13,03:15,2026-06-18 03:15:00,TERMO,Termoeléctrica,Actual,728.06
2026-06-18,14,03:30,2026-06-18 03:30:00,TERMO,Termoeléctrica,Actual,728.79
2026-06-18,15,03:45,2026-06-18 03:45:00,TERMO,Termoeléctrica,Actual,726.87
2026-06-18,16,04:00,2026-06-18 04:00:00,TERMO,Termoeléctrica,Actual,720.92
2026-06-18,17,04:15,2026-06-18 04:15:00,TERMO,Termoeléctrica,Actual,720.5
2026-06-18,18,04:30,2026-06-18 04:30:00,TERMO,Termoeléctrica,Actual,737.84
2026-06-18,19,04:45,2026-06-18 04:45:00,TERMO,Termoeléctrica,Actual,733.25
2026-06-18,20,05:00,2026-06-18 05:00:00,TERMO,Termoeléctrica,Actual,738.3
2026-06-18,21,05:15,2026-06-18 05:15:00,TERMO,Termoeléctrica,Actual,738.84
2026-06-18,22,05:30,2026-06-18 05:30:00,TERMO,Termoeléctrica,Actual,747.37
2026-06-18,23,05:45,2026-06-18 05:45:00,TERMO,Termoeléctrica,Actual,772.18
2026-06-18,24,06:00,2026-06-18 06:00:00,TERMO,Termoeléctrica,Actual,766.5
2026-06-18,25,06:15,2026-06-18 06:15:00,TERMO,Termoeléctrica,Actual,791.39
2026-06-18,26,06:30,2026-06-18 06:30:00,TERMO,Termoeléctrica,Actual,839.25
2026-06-18,27,06:45,2026-06-18 06:45:00,TERMO,Termoeléctrica,Actual,840.17
2026-06-18,28,07:00,2026-06-18 07:00:00,TERMO,Termoeléctrica,Actual,838.9
2026-06-18,29,07:15,2026-06-18 07:15:00,TERMO,Termoeléctrica,Actual,881.98
2026-06-18,30,07:30,2026-06-18 07:30:00,TERMO,Termoeléctrica,Actual,877.97
2026-06-18,31,07:45,2026-06-18 07:45:00,TERMO,Termoeléctrica,Actual,890.42
2026-06-18,32,08:00,2026-06-18 08:00:00,TERMO,Termoeléctrica,Actual,865.54
2026-06-18,33,08:15,2026-06-18 08:15:00,TERMO,Termoeléctrica,Actual,877.7
2026-06-18,34,08:30,2026-06-18 08:30:00,TERMO,Termoeléctrica,Actual,
2026-06-18,35,08:45,2026-06-18 08:45:00,TERMO,Termoeléctrica,Actual,
2026-06-18,36,09:00,2026-06-18 09:00:00,TERMO,Termoeléctrica,Actual,
2026-06-18,37,09:15,2026-06-18 09:15:00,TERMO,Termoeléctrica,Actual,
2026-06-18,38,09:30,2026-06-18 09:30:00,TERMO,Termoeléctrica,Actual,
2026-06-18,39,09:45,2026-06-18 09:45:00,TERMO,Termoeléctrica,Actual,
2026-06-18,40,10:00,2026-06-18 10:00:00,TERMO,Termoeléctrica,Actual,
2026-06-18,41,10:15,2026-06-18 10:15:00,TERMO,Termoeléctrica,Actual,
2026-06-18,42,10:30,2026-06-18 10:30:00,TERMO,Termoeléctrica,Actual,
2026-06-18,43,10:45,2026-06-18 10:45:00,TERMO,Termoeléctrica,Actual,
2026-06-18,44,11:00,2026-06-18 11:00:00,TERMO,Termoeléctrica,Actual,
2026-06-18,45,11:15,2026-06-18 11:15:00,TERMO,Termoeléctrica,Actual,
2026-06-18,46,11:30,2026-06-18 11:30:00,TERMO,Termoeléctrica,Actual,
2026-06-18,47,11:45,2026-06-18 11:45:00,TERMO,Termoeléctrica,Actual,
2026-06-18,48,12:00,2026-06-18 12:00:00,TERMO,Termoeléctrica,Actual,
