fecha_hora_original,fecha_hora_bolivia,fecha,hora,hz,estado_rango
2026-06-18T10:39:57Z,2026-06-18T10:39:57-04:00,18/06/2026,10:39:57,50.027,Normal
2026-06-18T10:39:58Z,2026-06-18T10:39:58-04:00,18/06/2026,10:39:58,50.037,Normal
2026-06-18T10:39:59Z,2026-06-18T10:39:59-04:00,18/06/2026,10:39:59,50.043,Normal
2026-06-18T10:40:00Z,2026-06-18T10:40:00-04:00,18/06/2026,10:40:00,50.052,Normal
2026-06-18T10:40:01Z,2026-06-18T10:40:01-04:00,18/06/2026,10:40:01,50.051,Normal
2026-06-18T10:40:02Z,2026-06-18T10:40:02-04:00,18/06/2026,10:40:02,50.046,Normal
2026-06-18T10:40:03Z,2026-06-18T10:40:03-04:00,18/06/2026,10:40:03,50.046,Normal
2026-06-18T10:40:04Z,2026-06-18T10:40:04-04:00,18/06/2026,10:40:04,50.052,Normal
2026-06-18T10:40:05Z,2026-06-18T10:40:05-04:00,18/06/2026,10:40:05,50.055,Normal
2026-06-18T10:40:06Z,2026-06-18T10:40:06-04:00,18/06/2026,10:40:06,50.054,Normal
2026-06-18T10:40:07Z,2026-06-18T10:40:07-04:00,18/06/2026,10:40:07,50.057,Normal
2026-06-18T10:40:08Z,2026-06-18T10:40:08-04:00,18/06/2026,10:40:08,50.064,Normal
2026-06-18T10:40:09Z,2026-06-18T10:40:09-04:00,18/06/2026,10:40:09,50.066,Normal
2026-06-18T10:40:10Z,2026-06-18T10:40:10-04:00,18/06/2026,10:40:10,50.064,Normal
2026-06-18T10:40:11Z,2026-06-18T10:40:11-04:00,18/06/2026,10:40:11,50.065,Normal
2026-06-18T10:40:12Z,2026-06-18T10:40:12-04:00,18/06/2026,10:40:12,50.06,Normal
2026-06-18T10:40:13Z,2026-06-18T10:40:13-04:00,18/06/2026,10:40:13,50.054,Normal
2026-06-18T10:40:14Z,2026-06-18T10:40:14-04:00,18/06/2026,10:40:14,50.051,Normal
2026-06-18T10:40:15Z,2026-06-18T10:40:15-04:00,18/06/2026,10:40:15,50.049,Normal
2026-06-18T10:40:16Z,2026-06-18T10:40:16-04:00,18/06/2026,10:40:16,50.049,Normal
2026-06-18T10:40:17Z,2026-06-18T10:40:17-04:00,18/06/2026,10:40:17,50.048,Normal
2026-06-18T10:40:18Z,2026-06-18T10:40:18-04:00,18/06/2026,10:40:18,50.045,Normal
2026-06-18T10:40:19Z,2026-06-18T10:40:19-04:00,18/06/2026,10:40:19,50.043,Normal
2026-06-18T10:40:20Z,2026-06-18T10:40:20-04:00,18/06/2026,10:40:20,50.053,Normal
2026-06-18T10:40:21Z,2026-06-18T10:40:21-04:00,18/06/2026,10:40:21,50.052,Normal
2026-06-18T10:40:22Z,2026-06-18T10:40:22-04:00,18/06/2026,10:40:22,50.046,Normal
2026-06-18T10:40:23Z,2026-06-18T10:40:23-04:00,18/06/2026,10:40:23,50.046,Normal
2026-06-18T10:40:24Z,2026-06-18T10:40:24-04:00,18/06/2026,10:40:24,50.048,Normal
2026-06-18T10:40:25Z,2026-06-18T10:40:25-04:00,18/06/2026,10:40:25,50.049,Normal
2026-06-18T10:40:26Z,2026-06-18T10:40:26-04:00,18/06/2026,10:40:26,50.049,Normal
2026-06-18T10:40:27Z,2026-06-18T10:40:27-04:00,18/06/2026,10:40:27,50.051,Normal
2026-06-18T10:40:28Z,2026-06-18T10:40:28-04:00,18/06/2026,10:40:28,50.055,Normal
2026-06-18T10:40:29Z,2026-06-18T10:40:29-04:00,18/06/2026,10:40:29,50.051,Normal
2026-06-18T10:40:30Z,2026-06-18T10:40:30-04:00,18/06/2026,10:40:30,50.045,Normal
2026-06-18T10:40:32Z,2026-06-18T10:40:32-04:00,18/06/2026,10:40:32,50.029,Normal
2026-06-18T10:40:33Z,2026-06-18T10:40:33-04:00,18/06/2026,10:40:33,50.036,Normal
2026-06-18T10:40:34Z,2026-06-18T10:40:34-04:00,18/06/2026,10:40:34,50.039,Normal
2026-06-18T10:40:35Z,2026-06-18T10:40:35-04:00,18/06/2026,10:40:35,50.03,Normal
2026-06-18T10:40:36Z,2026-06-18T10:40:36-04:00,18/06/2026,10:40:36,50.021,Normal
2026-06-18T10:40:37Z,2026-06-18T10:40:37-04:00,18/06/2026,10:40:37,50.015,Normal
2026-06-18T10:40:38Z,2026-06-18T10:40:38-04:00,18/06/2026,10:40:38,50.015,Normal
2026-06-18T10:40:39Z,2026-06-18T10:40:39-04:00,18/06/2026,10:40:39,50.022,Normal
2026-06-18T10:40:40Z,2026-06-18T10:40:40-04:00,18/06/2026,10:40:40,50.035,Normal
2026-06-18T10:40:41Z,2026-06-18T10:40:41-04:00,18/06/2026,10:40:41,50.053,Normal
2026-06-18T10:40:42Z,2026-06-18T10:40:42-04:00,18/06/2026,10:40:42,50.076,Normal
2026-06-18T10:40:43Z,2026-06-18T10:40:43-04:00,18/06/2026,10:40:43,50.091,Normal
2026-06-18T10:40:44Z,2026-06-18T10:40:44-04:00,18/06/2026,10:40:44,50.096,Normal
2026-06-18T10:40:45Z,2026-06-18T10:40:45-04:00,18/06/2026,10:40:45,50.092,Normal
2026-06-18T10:40:46Z,2026-06-18T10:40:46-04:00,18/06/2026,10:40:46,50.085,Normal
2026-06-18T10:40:47Z,2026-06-18T10:40:47-04:00,18/06/2026,10:40:47,50.081,Normal
2026-06-18T10:40:48Z,2026-06-18T10:40:48-04:00,18/06/2026,10:40:48,50.079,Normal
2026-06-18T10:40:49Z,2026-06-18T10:40:49-04:00,18/06/2026,10:40:49,50.067,Normal
2026-06-18T10:40:50Z,2026-06-18T10:40:50-04:00,18/06/2026,10:40:50,50.059,Normal
2026-06-18T10:40:51Z,2026-06-18T10:40:51-04:00,18/06/2026,10:40:51,50.05,Normal
2026-06-18T10:40:52Z,2026-06-18T10:40:52-04:00,18/06/2026,10:40:52,50.04,Normal
2026-06-18T10:40:53Z,2026-06-18T10:40:53-04:00,18/06/2026,10:40:53,50.033,Normal
2026-06-18T10:40:54Z,2026-06-18T10:40:54-04:00,18/06/2026,10:40:54,50.03,Normal
2026-06-18T10:40:55Z,2026-06-18T10:40:55-04:00,18/06/2026,10:40:55,50.027,Normal
2026-06-18T10:40:56Z,2026-06-18T10:40:56-04:00,18/06/2026,10:40:56,50.022,Normal
2026-06-18T10:40:57Z,2026-06-18T10:40:57-04:00,18/06/2026,10:40:57,50.025,Normal
2026-06-18T10:40:58Z,2026-06-18T10:40:58-04:00,18/06/2026,10:40:58,50.033,Normal
2026-06-18T10:40:59Z,2026-06-18T10:40:59-04:00,18/06/2026,10:40:59,50.042,Normal
2026-06-18T10:41:00Z,2026-06-18T10:41:00-04:00,18/06/2026,10:41:00,50.048,Normal
2026-06-18T10:41:01Z,2026-06-18T10:41:01-04:00,18/06/2026,10:41:01,50.062,Normal
2026-06-18T10:41:02Z,2026-06-18T10:41:02-04:00,18/06/2026,10:41:02,50.078,Normal
2026-06-18T10:41:03Z,2026-06-18T10:41:03-04:00,18/06/2026,10:41:03,50.094,Normal
2026-06-18T10:41:04Z,2026-06-18T10:41:04-04:00,18/06/2026,10:41:04,50.111,Normal
2026-06-18T10:41:05Z,2026-06-18T10:41:05-04:00,18/06/2026,10:41:05,50.114,Normal
2026-06-18T10:41:06Z,2026-06-18T10:41:06-04:00,18/06/2026,10:41:06,50.105,Normal
2026-06-18T10:41:07Z,2026-06-18T10:41:07-04:00,18/06/2026,10:41:07,50.102,Normal
2026-06-18T10:41:09Z,2026-06-18T10:41:09-04:00,18/06/2026,10:41:09,50.097,Normal
2026-06-18T10:41:10Z,2026-06-18T10:41:10-04:00,18/06/2026,10:41:10,50.08,Normal
2026-06-18T10:41:11Z,2026-06-18T10:41:11-04:00,18/06/2026,10:41:11,50.058,Normal
2026-06-18T10:41:12Z,2026-06-18T10:41:12-04:00,18/06/2026,10:41:12,50.048,Normal
2026-06-18T10:41:13Z,2026-06-18T10:41:13-04:00,18/06/2026,10:41:13,50.04,Normal
2026-06-18T10:41:14Z,2026-06-18T10:41:14-04:00,18/06/2026,10:41:14,50.027,Normal
2026-06-18T10:41:15Z,2026-06-18T10:41:15-04:00,18/06/2026,10:41:15,50.019,Normal
2026-06-18T10:41:16Z,2026-06-18T10:41:16-04:00,18/06/2026,10:41:16,50.01,Normal
2026-06-18T10:41:17Z,2026-06-18T10:41:17-04:00,18/06/2026,10:41:17,50.014,Normal
2026-06-18T10:41:18Z,2026-06-18T10:41:18-04:00,18/06/2026,10:41:18,50.015,Normal
2026-06-18T10:41:19Z,2026-06-18T10:41:19-04:00,18/06/2026,10:41:19,50.008,Normal
2026-06-18T10:41:20Z,2026-06-18T10:41:20-04:00,18/06/2026,10:41:20,50.0,Normal
2026-06-18T10:41:21Z,2026-06-18T10:41:21-04:00,18/06/2026,10:41:21,49.99,Normal
2026-06-18T10:41:22Z,2026-06-18T10:41:22-04:00,18/06/2026,10:41:22,49.982,Normal
2026-06-18T10:41:23Z,2026-06-18T10:41:23-04:00,18/06/2026,10:41:23,49.974,Normal
2026-06-18T10:41:24Z,2026-06-18T10:41:24-04:00,18/06/2026,10:41:24,49.969,Normal
2026-06-18T10:41:25Z,2026-06-18T10:41:25-04:00,18/06/2026,10:41:25,49.966,Normal
2026-06-18T10:41:26Z,2026-06-18T10:41:26-04:00,18/06/2026,10:41:26,49.963,Normal
2026-06-18T10:41:27Z,2026-06-18T10:41:27-04:00,18/06/2026,10:41:27,49.957,Normal
2026-06-18T10:41:28Z,2026-06-18T10:41:28-04:00,18/06/2026,10:41:28,49.958,Normal
2026-06-18T10:41:29Z,2026-06-18T10:41:29-04:00,18/06/2026,10:41:29,49.963,Normal
2026-06-18T10:41:30Z,2026-06-18T10:41:30-04:00,18/06/2026,10:41:30,49.959,Normal
2026-06-18T10:41:31Z,2026-06-18T10:41:31-04:00,18/06/2026,10:41:31,49.957,Normal
2026-06-18T10:41:32Z,2026-06-18T10:41:32-04:00,18/06/2026,10:41:32,49.966,Normal
2026-06-18T10:41:33Z,2026-06-18T10:41:33-04:00,18/06/2026,10:41:33,49.984,Normal
2026-06-18T10:41:34Z,2026-06-18T10:41:34-04:00,18/06/2026,10:41:34,50.004,Normal
2026-06-18T10:41:35Z,2026-06-18T10:41:35-04:00,18/06/2026,10:41:35,50.023,Normal
2026-06-18T10:41:36Z,2026-06-18T10:41:36-04:00,18/06/2026,10:41:36,50.043,Normal
2026-06-18T10:41:38Z,2026-06-18T10:41:38-04:00,18/06/2026,10:41:38,50.079,Normal
2026-06-18T10:41:39Z,2026-06-18T10:41:39-04:00,18/06/2026,10:41:39,50.086,Normal
2026-06-18T10:41:40Z,2026-06-18T10:41:40-04:00,18/06/2026,10:41:40,50.079,Normal
2026-06-18T10:41:41Z,2026-06-18T10:41:41-04:00,18/06/2026,10:41:41,50.079,Normal
2026-06-18T10:41:42Z,2026-06-18T10:41:42-04:00,18/06/2026,10:41:42,50.075,Normal
2026-06-18T10:41:43Z,2026-06-18T10:41:43-04:00,18/06/2026,10:41:43,50.066,Normal
2026-06-18T10:41:44Z,2026-06-18T10:41:44-04:00,18/06/2026,10:41:44,50.063,Normal
2026-06-18T10:41:45Z,2026-06-18T10:41:45-04:00,18/06/2026,10:41:45,50.058,Normal
2026-06-18T10:41:46Z,2026-06-18T10:41:46-04:00,18/06/2026,10:41:46,50.052,Normal
